Date,MSFT,AMZN,KO,MA,COST,LUV,XOM,PFE,JPM,UNH,ACN,DIS,GILD,F,TSLA
2009-12-31,23.49339485168457,134.52000427246094,19.483226776123047,24.06515121459961,43.97759246826172,10.604203224182129,42.586097717285156,10.716870307922363,30.61915397644043,25.25489616394043,32.88264083862305,28.090709686279297,17.24617576599121,6.968012809753418,
2010-01-04,23.85565757751465,133.89999389648438,19.49691390991211,24.1460018157959,44.155967712402344,10.372268676757812,43.18563461303711,11.152852058410645,31.524038314819336,26.124914169311523,33.33429718017578,27.933921813964844,17.258132934570312,7.163116455078125,
2010-01-05,23.863367080688477,134.69000244140625,19.261056900024414,24.074552536010742,44.022186279296875,10.919639587402344,43.35425567626953,10.993775367736816,32.13466262817383,26.083477020263672,33.540306091308594,27.864238739013672,17.2421932220459,7.636940002441406,
2010-01-06,23.7169132232666,132.25,19.254226684570312,24.039745330810547,44.5944938659668,10.594927787780762,43.728965759277344,10.958426475524902,32.311214447021484,26.3403377532959,33.89686965942383,27.716161727905273,17.84004783630371,7.922628879547119,
2010-01-07,23.47027015686035,130.0,19.20636558532715,23.88265037536621,44.37894058227539,10.752646446228027,43.5915641784668,10.917184829711914,32.951271057128906,27.351198196411133,33.86517333984375,27.724876403808594,17.88389015197754,8.124702453613281,
2010-01-08,23.63212776184082,133.52000427246094,18.850881576538086,23.891115188598633,44.05935287475586,10.511428833007812,43.41669845581055,11.005555152893066,32.87033462524414,27.09433937072754,33.730464935302734,27.76842498779297,17.752365112304688,8.145604133605957,
2010-01-11,23.331531524658203,130.30999755859375,19.233718872070312,23.497915267944336,44.111392974853516,10.632037162780762,43.90384292602539,11.093934059143066,32.75999069213867,27.2766170501709,33.69877624511719,27.31549072265625,17.891862869262695,8.438261032104492,
2010-01-12,23.177370071411133,127.3499984741211,19.442218780517578,23.4847412109375,43.8735466003418,10.511428833007812,43.68525314331055,11.058585166931152,31.994869232177734,26.555763244628906,33.48484420776367,26.845130920410156,17.91577911376953,8.271031379699707,
2010-01-13,23.393184661865234,129.11000061035156,19.49349021911621,24.09524154663086,44.14854431152344,10.696980476379395,43.51038360595703,11.3178129196167,32.55400848388672,26.961767196655273,33.86517333984375,27.254520416259766,18.13897705078125,8.138638496398926,
2010-01-14,23.863367080688477,127.3499984741211,19.527666091918945,24.50255584716797,43.64313507080078,10.632037162780762,43.51662826538086,11.417974472045898,32.87769317626953,27.60805320739746,34.166263580322266,27.01934051513672,18.119049072265625,8.194378852844238,
2010-01-15,23.786287307739258,127.13999938964844,19.240550994873047,24.706666946411133,43.695152282714844,10.465042114257812,43.16065979003906,11.482782363891602,32.13466262817383,27.96434211730957,33.92063522338867,26.65350341796875,18.142963409423828,8.082890510559082,
2010-01-19,23.971277236938477,127.61000061035156,19.284984588623047,24.904218673706055,43.814090728759766,10.48359489440918,43.260581970214844,11.783255577087402,31.840377807617188,29.107769012451172,34.66545486450195,27.01062774658203,18.445878982543945,8.187413215637207,
2010-01-20,23.57818031311035,125.77999877929688,18.970518112182617,24.776283264160156,43.308685302734375,10.511428833007812,42.486167907714844,11.747906684875488,31.928667068481445,28.6272029876709,34.475276947021484,27.16741371154785,18.354206085205078,8.020181655883789,
2010-01-21,23.13113021850586,126.62000274658203,18.584274291992188,24.31723403930664,42.751243591308594,10.836146354675293,41.65555191040039,11.335491180419922,29.824609756469727,27.42577362060547,34.14249801635742,26.66221809387207,18.24659538269043,7.790233612060547,
2010-01-22,22.321805953979492,121.43000030517578,18.53984260559082,23.68699073791504,42.41679382324219,10.836146354675293,41.28084945678711,11.170524597167969,28.809364318847656,27.475473403930664,33.421451568603516,26.11347007751465,18.366167068481445,7.330349445343018,
2010-01-25,22.59928321838379,120.30999755859375,18.577436447143555,23.747194290161133,42.77354049682617,10.502155303955078,41.12471389770508,11.105717658996582,28.846147537231445,27.342914581298828,33.18374252319336,26.061206817626953,18.21868896484375,7.6857171058654785,
2010-01-26,22.73802375793457,119.4800033569336,18.505651473999023,23.385969161987305,43.055973052978516,10.771198272705078,41.16842269897461,11.064474105834961,28.27967071533203,26.878904342651367,33.14413070678711,25.834739685058594,17.88389015197754,7.797203540802002,
2010-01-27,22.869056701660156,122.75,18.632123947143555,24.11216926574707,42.7586669921875,10.567094802856445,40.93111801147461,11.194089889526367,28.934431076049805,27.54176902770996,33.22336196899414,25.538589477539062,19.14736557006836,8.048052787780762,
2010-01-28,22.475955963134766,126.02999877929688,18.51932716369629,23.464994430541992,42.62489700317383,10.622760772705078,40.568885803222656,10.976101875305176,29.04478645324707,27.699199676513672,32.71626663208008,25.564720153808594,18.93612289428711,7.950498580932617,
2010-01-29,21.720598220825195,125.41000366210938,18.54326057434082,23.507322311401367,42.68437576293945,10.511428833007812,40.23789978027344,10.993775367736816,28.64751625061035,27.342914581298828,32.47856140136719,25.73892593383789,19.239038467407227,7.553321838378906,
2010-02-01,21.897876739501953,118.87000274658203,18.587690353393555,23.838438034057617,43.041114807128906,10.734090805053711,41.3307991027832,11.070365905761719,29.155132293701172,27.450626373291016,32.637027740478516,25.71279525756836,19.055688858032227,7.748427391052246,
2010-02-02,21.936410903930664,118.12000274658203,18.816707611083984,23.757537841796875,43.6803092956543,10.715536117553711,41.81794357299805,11.335491180419922,29.83196449279785,28.212919235229492,32.97772979736328,26.11347007751465,19.3546199798584,7.936567306518555,
2010-02-03,22.06744956970215,119.0999984741211,18.755178451538086,23.289087295532227,43.420169830322266,10.641316413879395,41.59310531616211,11.079461097717285,29.64069366455078,27.60805320739746,32.96187973022461,26.784160614013672,18.948078155517578,8.11076545715332,
